Stage,Carcass,ADHSUB,ADHCUM
Fresh,C7,18.55555557,18.55555557
Bloat,C7,440.88888888,459.44444445
Active,C7,994.50000004,1453.94444449
Advanced,C7,127.77777778,1581.72222227
Dry,C7,0,0
Fresh,C8,18.55555557,18.55555557
Bloat,C8,805.83333336,824.38888893
Active,C8,297.55555555,1121.94444448
Advanced,C8,459.77777779,1581.72222227
Dry,C8,0,0
Fresh,C9,12.05555557,12.05555557
Bloat,C9,6.50000000,18.55555557
Active,C9,810.22222226,828.77777783
Advanced,C9,752.94444444,1581.72222227
Dry,C9,0,0
Fresh,C10,18.55555557,18.55555557
Bloat,C10,440.88888888,459.44444445
Active,C10,393.33333338,852.77777783
Advanced,C10,728.94444444,1581.72222227
Dry,C10,0,0
Fresh,C11,132.72222224,132.72222224
Bloat,C11,375.66666667,508.38888891
Active,C11,613.55555557,1121.94444448
Advanced,C11,332.00000001,1453.94444449
Dry,C11,127.77777778,1581.72222227
Fresh,C12,132.72222224,132.72222224
Bloat,C12,560.50000001,693.22222225
Active,C12,361.77777778,1055.00000003
Advanced,C12,509.27777779,1564.27777782
Dry,C12,17.44444445,1581.72222227
