Stage,Carcass,ADHSUB,ADHCUM
Fresh,C16,699.61111104,699.61111104
Bloat,C16,157.44444443,857.05555547
Active,C16,327.72222221,1184.77777768
Advanced,C16,0,0
Dry,C16,0,0
Fresh,C17,406.66666665,406.66666665
Bloat,C17,169.11111106,575.77777771
Active,C17,485.77777776,1061.55555547
Advanced,C17,123.22222221,1184.77777768
Dry,C17,0,0
Fresh,C18,406.66666665,406.66666665
Bloat,C18,79.16666664,485.83333329
Active,C18,556.33333329,1042.16666658
Advanced,C18,142.6111111,1184.77777768
Dry,C18,0,0
Fresh,C19,482.22222219,482.22222219
Bloat,C19,55.61111108,537.83333327
Active,C19,196.66666665,734.49999992
Advanced,C19,420.77777776,1155.27777768
Dry,C19,29.5,1184.77777768
Fresh,C20,699.61111104,699.61111104
Bloat,C20,199.49999999,899.11111103
Active,C20,205.61111111,1104.72222214
Advanced,C20,80.05555554,1184.77777768
Dry,C20,0,0
Fresh,C21,699.61111104,699.61111104
Bloat,C21,157.44444443,857.05555547
Active,C21,298.22222221,1155.27777768
Advanced,C21,29.50000000,1184.77777768
Dry,C21,0,0
