DAY,HOUR date,Hour,Temperature,Hour,Baseline,adjusted_temperature,adh,LMobserved,larvaeobserved
5/15/23,12:00,0,16.05555556,0,10,6.05555556,0,0,0
5/15/23,13:00,1,17.61111111,1,10,7.61111111,7.61111111,0,0
5/15/23,14:00,2,18.72222222,2,10,8.72222222,16.33333333,0,0
5/15/23,15:00,3,19.83333333,3,10,9.83333333,26.16666666,0,0
5/15/23,16:00,4,20.44444444,4,10,10.44444444,36.6111111,0,0
5/15/23,17:00,5,21.27777778,5,10,11.27777778,47.88888888,0,0
5/15/23,18:00,6,21.55555556,6,10,11.55555556,59.44444444,0,0
5/15/23,19:00,7,21.72222222,7,10,11.72222222,71.16666666,0,0
5/15/23,20:00,8,21.27777778,8,10,11.27777778,82.44444444,0,0
5/15/23,21:00,9,19.38888889,9,10,9.38888889,91.83333333,0,0
5/15/23,22:00,10,14.72222222,10,10,4.72222222,96.55555555,0,0
5/15/23,23:00,11,14.83333333,11,10,4.83333333,101.38888888,0,0
5/16/23,0:00,12,14.77777778,12,10,4.77777778,106.16666666,0,0
5/16/23,1:00,13,12.66666667,13,10,2.66666667,108.83333333,0,0
5/16/23,2:00,14,9.944444444,14,10,0,108.83333333,0,0
5/16/23,3:00,15,7.666666667,15,10,0,108.83333333,0,0
5/16/23,4:00,16,6.666666667,16,10,0,108.83333333,0,0
5/16/23,5:00,17,6.166666667,17,10,0,108.83333333,0,0
5/16/23,6:00,18,6,18,10,0,108.83333333,0,0
5/16/23,7:00,19,5.5,19,10,0,108.83333333,0,0
5/16/23,8:00,20,7.777777778,20,10,0,108.83333333,0,0
5/16/23,9:00,21,11.61111111,21,10,1.61111111,110.44444444,0,0
5/16/23,10:00,22,14.61111111,22,10,4.61111111,115.05555555,0,0
5/16/23,11:00,23,16.72222222,23,10,6.72222222,121.77777777,0,0
5/16/23,12:00,24,19.38888889,24,10,9.38888889,131.16666666,0,0
5/16/23,13:00,25,21.16666667,25,10,11.16666667,142.33333333,0,0
5/16/23,14:00,26,22.83333333,26,10,12.83333333,155.16666666,0,0
5/16/23,15:00,27,23.83333333,27,10,13.83333333,168.99999999,0,0
5/16/23,16:00,28,24,28,10,14,182.99999999,0,0
5/16/23,17:00,29,23.83333333,29,10,13.83333333,196.83333332,0,0
5/16/23,18:00,30,22.94444444,30,10,12.94444444,209.77777776,0,0
5/16/23,19:00,31,21.77777778,31,10,11.77777778,221.55555554,0,0
5/16/23,20:00,32,20.55555556,32,10,10.55555556,232.1111111,0,0
5/16/23,21:00,33,18,33,10,8,240.1111111,0,0
5/16/23,22:00,34,15.83333333,34,10,5.83333333,245.94444443,0,0
5/16/23,23:00,35,13.88888889,35,10,3.88888889,249.83333332,0,0
5/17/23,0:00,36,11.83333333,36,10,1.83333333,251.66666665,0,0
5/17/23,1:00,37,10.61111111,37,10,0.61111111,252.27777776,0,0
5/17/23,2:00,38,9.444444444,38,10,0,252.27777776,0,0
5/17/23,3:00,39,8.222222222,39,10,0,252.27777776,0,0
5/17/23,4:00,40,6.833333333,40,10,0,252.27777776,0,0
5/17/23,5:00,41,6.333333333,41,10,0,252.27777776,0,0
5/17/23,6:00,42,5.666666667,42,10,0,252.27777776,0,0
5/17/23,7:00,43,5.277777778,43,10,0,252.27777776,0,0
5/17/23,8:00,44,6.277777778,44,10,0,252.27777776,0,0
5/17/23,9:00,45,6.944444444,45,10,0,252.27777776,0,0
5/17/23,10:00,46,8.277777778,46,10,0,252.27777776,0,0
5/17/23,11:00,47,9.055555556,47,10,0,252.27777776,0,0
5/17/23,12:00,48,10.16666667,48,10,0.16666667,252.44444443,0,0
5/17/23,13:00,49,11.11111111,49,10,1.11111111,253.55555554,0,0
5/17/23,14:00,50,11.77777778,50,10,1.77777778,255.33333332,0,1
5/17/23,15:00,51,12.66666667,51,10,2.66666667,257.99999999,0,1
5/17/23,16:00,52,13.61111111,52,10,3.61111111,261.6111111,0,1
5/17/23,17:00,53,13.72222222,53,10,3.72222222,265.33333332,0,1
5/17/23,18:00,54,13.77777778,54,10,3.77777778,269.1111111,0,1
5/17/23,19:00,55,13.44444444,55,10,3.44444444,272.55555554,0,1
5/17/23,20:00,56,12.72222222,56,10,2.72222222,275.27777776,0,1
5/17/23,21:00,57,11.44444444,57,10,1.44444444,276.7222222,0,1
5/17/23,22:00,58,9.388888889,58,10,0,276.7222222,0,1
5/17/23,23:00,59,6.666666667,59,10,0,276.7222222,0,1
5/18/23,0:00,60,5.888888889,60,10,0,276.7222222,0,1
5/18/23,1:00,61,5.833333333,61,10,0,276.7222222,0,1
5/18/23,2:00,62,4.611111111,62,10,0,276.7222222,0,1
