SampleID	CarcassID	Date	Sampling Event	ADH	AltSampleID	Season
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
C1-L1-1_1	C1	8/7/22	6	800	C1-L1-1_1	SUMMER
C1-L2-1_1	C1	8/7/22	6	800	C1-L2-1_1	SUMMER
C2-L1-1_1	C2	8/7/22	6	800	C2-L1-1_1	SUMMER
C2-L1-1_2	C2	8/7/22	6	800	C2-L1-1_2	SUMMER
C2-L2-1_2	C2	8/7/22	6	800	C2-L2-1_2	SUMMER
C2-L3-1_1	C2	8/7/22	6	800	C2-L3-1_1	SUMMER
C2-L3-1_2	C2	8/7/22	6	800	C2-L3-1_2	SUMMER
C6-L1-1_1	C6	8/7/22	6	800	C6-L1-1_1	SUMMER
C6-L2-1_1	C6	8/7/22	6	800	C6-L2-1_1	SUMMER
C1-L1-2_1	C1	8/8/22	8	1141	C1-L1-2_1	SUMMER
C1-L2-2_1	C1	8/8/22	8	1141	C1-L2-2_1	SUMMER
C2-L1-2_1	C2	8/8/22	8	1141	C2-L1-2_1	SUMMER
C2-L2-2_1	C2	8/8/22	8	1141	C2-L2-2_1	SUMMER
C3-L1-2_1	C3	8/8/22	8	1141	C3-L1-2_1	SUMMER
C3-L1-2_2	C3	8/8/22	8	1141	C3-L1-2_2	SUMMER
C4-L1-2_1	C4	8/8/22	8	1141	C4-L1-2_1	SUMMER
C4-L1-2_2	C4	8/8/22	8	1141	C4-L1-2_2	SUMMER
C5-L1-2_1	C5	8/8/22	8	1141	C5-L1-2_1	SUMMER
C6-L1-2_1	C6	8/8/22	8	1141	C6-L1-2_1	SUMMER
C1-L1-3_1	C1	8/9/22	9	1357	C1-L1-3_1	SUMMER
C2-L1-3_1	C2	8/9/22	9	1357	C2-L1-3_1	SUMMER
C2-L1-3_2	C2	8/9/22	9	1357	C2-L1-3_2	SUMMER
C3-L1-3_1	C3	8/9/22	9	1357	C3-L1-3_1	SUMMER
C4-L1-3_1	C4	8/9/22	9	1357	C4-L1-3_1	SUMMER
C4-L2-3_1	C4	8/9/22	9	1357	C4-L2-3_1	SUMMER
C5-L1-3_1	C5	8/9/22	9	1357	C5-L1-3_1	SUMMER
C5-L2-3_1	C5	8/9/22	9	1357	C5-L2-3_1	SUMMER
C6-L1-3_1	C6	8/9/22	9	1357	C6-L1-3_1	SUMMER
C6-L2-3_1	C6	8/9/22	9	1357	C6-L2-3_1	SUMMER
C1-L1-4_1	C1	8/9/22	10	1401	C1-L1-4_1	SUMMER
C2-L1-4_1	C2	8/9/22	10	1401	C2-L1-4_1	SUMMER
C3-L2-4_1	C3	8/9/22	10	1401	C3-L2-4_1	SUMMER
C4-L1-4_1	C4	8/9/22	10	1401	C4-L1-4_1	SUMMER
C4-L2-4_1	C4	8/9/22	10	1401	C4-L2-4_1	SUMMER
C5-L1-4_1	C5	8/9/22	10	1401	C5-L1-4_1	SUMMER
C5-L2-4_1	C5	8/9/22	10	1401	C5-L2-4_1	SUMMER
C6-L2-4_1	C6	8/9/22	10	1401	C6-L2-4_1	SUMMER
C1-L1-5_1	C1	8/10/22	11	1564	C1-L1-5_1	SUMMER
C2-L1-5_1	C2	8/10/22	11	1564	C2-L1-5_1	SUMMER
C3-L1-5_1	C3	8/10/22	11	1564	C3-L1-5_1	SUMMER
C3-L2-5_1	C3	8/10/22	11	1564	C3-L2-5_1	SUMMER
C4-L1-5_1	C4	8/10/22	11	1564	C4-L1-5_1	SUMMER
C5-L2-5_1	C5	8/10/22	11	1564	C5-L2-5_1	SUMMER
C6-L1-5_1	C6	8/10/22	11	1564	C6-L1-5_1	SUMMER
C6-L2-5_1	C6	8/10/22	11	1564	C6-L2-5_1	SUMMER
C1-L1-6_1	C1	8/10/22	12	1620	C1-L1-6_1	SUMMER
C1-L2-6_1	C1	8/10/22	12	1620	C1-L2-6_1	SUMMER
C2-L1-6_1	C2	8/10/22	12	1620	C2-L1-6_1	SUMMER
C2-L1-6_2	C2	8/10/22	12	1620	C2-L1-6_2	SUMMER
C3-L1-6_1	C3	8/10/22	12	1620	C3-L1-6_1	SUMMER
C4-L1-6_1	C4	8/10/22	12	1620	C4-L1-6_1	SUMMER
C5-L1-6_1	C5	8/10/22	12	1620	C5-L1-6_1	SUMMER
C5-L2-6_1	C5	8/10/22	12	1620	C5-L2-6_1	SUMMER
C6-L1-6_2	C6	8/10/22	12	1620	C6-L1-6_2	SUMMER
C1-L1-7_1	C1	8/11/22	13	1869	C1-L1-7_1	SUMMER
C2-L1-7_1	C2	8/11/22	13	1869	C2-L1-7_1	SUMMER
C2-L1-7_2	C2	8/11/22	13	1869	C2-L1-7_2	SUMMER
C3-L1-7_1	C3	8/11/22	13	1869	C3-L1-7_1	SUMMER
C4-L1-7_1	C4	8/11/22	13	1869	C4-L1-7_1	SUMMER
C4-L1-7_2	C4	8/11/22	13	1869	C4-L1-7_2	SUMMER
C5-L1-7_1	C5	8/11/22	13	1869	C5-L1-7_1	SUMMER
C5-L2-7_1	C5	8/11/22	13	1869	C5-L2-7_1	SUMMER
C6-L1-7_1	C6	8/11/22	13	1869	C6-L1-7_1	SUMMER
C6-L1-7_2	C6	8/11/22	13	1869	C6-L1-7_2	SUMMER
C1-L1-8_1	C1	8/11/22	14	1948	C1-L1-8_1	SUMMER
C1-L1-8_2	C1	8/11/22	14	1948	C1-L1-8_2	SUMMER
C3-L1-8_1	C3	8/11/22	14	1948	C3-L1-8_1	SUMMER
C4-L1-8_2	C4	8/11/22	14	1948	C4-L1-8_2	SUMMER
C5-L1-8_1	C5	8/11/22	14	1948	C5-L1-8_1	SUMMER
C6-L1-8_1	C6	8/11/22	14	1948	C6-L1-8_1	SUMMER
C6-L1-8_2	C6	8/11/22	14	1948	C6-L1-8_2	SUMMER
F1	C7	11/1/2022	38	1013	C7-L1-1_1	FALL
F2	C7	11/1/2022	38	1013	C7-L1-1_2	FALL
F3	C7	11/1/2022	38	1013	C7-L1-1_3	FALL
F4	C8	11/1/2022	38	1013	C8-L1-1_1	FALL
F5	C8	11/1/2022	38	1013	C8-L1-1_2	FALL
F6	C8	11/1/2022	38	1013	C8-L1-1_3	FALL
F7	C10	11/1/2022	38	1013	C10-L1-1_1	FALL
F8	C10	11/1/2022	38	1013	C10-L1-1_2	FALL
F9	C12	11/1/2022	38	1013	C12-L1-1_1	FALL
F10	C12	11/1/2022	38	1013	C12-L1-1_2	FALL
F11	C8	11/3/2022	41	1122	C8-L1-2_1	FALL
F12	C8	11/3/2022	41	1122	C8-L1-2_2	FALL
F13	C9	11/3/2022	41	1122	C9-L1-2_1	FALL
F14	C9	11/3/2022	41	1122	C9-L1-2_2	FALL
F15	C11	11/3/2022	41	1122	C11-L1-2_1	FALL
F16	C11	11/3/2022	41	1122	C11-L1-2_2	FALL
F17	C12	11/3/2022	41	1122	C12-L1-2_1	FALL
F18	C12	11/3/2022	41	1122	C12-L1-2_2	FALL
F19	C12	11/3/2022	41	1122	C12-L2-2_1	FALL
F20	C12	11/3/2022	41	1122	C12-L3-2_1	FALL
F21	C7	11/3/2022	42	1148	C7-L1-3_1	FALL
F22	C7	11/3/2022	42	1148	C7-L1-3_2	FALL
F23	C8	11/3/2022	42	1148	C8-L1-3_1	FALL
F24	C8	11/3/2022	42	1148	C8-L1-3_2	FALL
F25	C8	11/3/2022	42	1148	C8-L1-3_3	FALL
F26	C8	11/3/2022	42	1148	C8-L1-3_4	FALL
F27	C10	11/3/2022	42	1148	C10-L1-3_1	FALL
F28	C10	11/3/2022	42	1148	C10-L1-3_2	FALL
F29	C10	11/3/2022	42	1148	C10-L1-3_3	FALL
F30	C10	11/3/2022	42	1148	C10-L1-3_4	FALL
F31	C7	11/4/2022	44	1281	C7-L1-4_1	FALL
F32	C7	11/4/2022	44	1281	C7-L1-4_2	FALL
F33	C8	11/4/2022	44	1281	C8-L1-4_1	FALL
F34	C8	11/4/2022	44	1281	C8-L1-4_2	FALL
F36	C9	11/4/2022	44	1281	C9-L1-4_2	FALL
F38	C11	11/4/2022	44	1281	C11-L1-4_2	FALL
F39	C12	11/4/2022	44	1281	C12-L1-4_1	FALL
F40	C12	11/4/2022	44	1281	C12-L1-4_2	FALL
F41	C7	11/5/2022	46	1488	C7-L1-5_1	FALL
F42	C7	11/5/2022	46	1488	C7-L1-5_2	FALL
F43	C8	11/5/2022	46	1488	C8-L1-5_1	FALL
F44	C8	11/5/2022	46	1488	C8-L1-5_2	FALL
F45	C10	11/5/2022	46	1488	C10-L1-5_1	FALL
F46	C10	11/5/2022	46	1488	C10-L1-5_2	FALL
F47	C11	11/5/2022	46	1488	C11-L1-5_1	FALL
F49	C12	11/5/2022	46	1488	C12-L1-5_1	FALL
F50	C12	11/5/2022	46	1488	C11-L1-5_2	FALL
F51	C7	11/6/2022	48	1582	C7-L1-6_1	FALL
F52	C7	11/6/2022	48	1582	C7-L1-6_2	FALL
F53	C8	11/6/2022	48	1582	C8-L1-6_1	FALL
F54	C8	11/6/2022	48	1582	C8-L1-6_2	FALL
F55	C9	11/6/2022	48	1582	C9-L1-6_1	FALL
F56	C9	11/6/2022	48	1582	C9-L1-6_2	FALL
F57	C12	11/6/2022	48	1582	C12-L1-6_1	FALL
F58	C12	11/6/2022	48	1582	C12-L1-6_2	FALL
F59	C7	11/6/2022	48	1582	C7-L1-6_3	FALL
F60	C8	11/6/2022	48	1582	C8-L1-6_3	FALL
P1	C16	5/20/2023	12	486	C16-L1-1_1	SPRING
P2	C17	5/20/2023	12	486	C17-L1-1_1	SPRING
P3	C18	5/20/2023	12	486	C18-L1-1_1	SPRING
P4	C19	5/20/2023	12	486	C19-L1-1_1	SPRING
P5	C20	5/20/2023	12	486	C20-L1-1_1	SPRING
P6	C21	5/20/2023	12	486	C21-L1-1_1	SPRING
P7	C16	5/20/2023	12	486	C16-L1-1_2	SPRING
P8	C17	5/20/2023	12	486	C17-L1-1_2	SPRING
P9	C18	5/20/2023	12	486	C18-L1-1_2	SPRING
P10	C19	5/20/2023	12	486	C19-L1-1_2	SPRING
P11	C16	5/21/2023	14	576	C16-L1-2_1	SPRING
P12	C16	5/21/2023	14	576	C16-L1-2_2	SPRING
P13	C19	5/21/2023	14	576	C19-L1-2_1	SPRING
P14	C19	5/21/2023	14	576	C19-L1-2_2	SPRING
P15	C20	5/21/2023	14	576	C20-L1-2_1	SPRING
P16	C20	5/21/2023	14	576	C20-L1-2_2	SPRING
P17	C21	5/21/2023	14	576	C21-L1-2_1	SPRING
P18	C21	5/21/2023	14	576	C21-L1-2_2	SPRING
P19	C16	5/21/2023	14	576	C16-L1-2_3	SPRING
P20	C19	5/21/2023	14	576	C19-L1-2_3	SPRING
P21	C16	5/22/2023	16	734	C16-L1-3_1	SPRING
P22	C16	5/22/2023	16	734	C16-L1-3_2	SPRING
P23	C17	5/22/2023	16	734	C17-L1-3_1	SPRING
P24	C17	5/22/2023	16	734	C17-L1-3_2	SPRING
P25	C19	5/22/2023	16	734	C19-L1-3_1	SPRING
P26	C19	5/22/2023	16	734	C19-L1-3_2	SPRING
P27	C21	5/22/2023	16	734	C21-L1-3_1	SPRING
P28	C21	5/22/2023	16	734	C21-L1-3_2	SPRING
P29	C19	5/22/2023	16	734	C19-L1-3_3	SPRING
P30	C21	5/22/2023	16	734	C21-L1-3_3	SPRING
P31	C17	5/23/2023	18	899	C17-L1-4_1	SPRING
P32	C17	5/23/2023	18	899	C17-L1-4_2	SPRING
P33	C17	5/23/2023	18	899	C17-L1-4_3	SPRING
P34	C17	5/23/2023	18	899	C17-L1-4_4	SPRING
P35	C17	5/23/2023	18	899	C17-L1-4_5	SPRING
P36	C17	5/23/2023	18	899	C17-L1-4_6	SPRING
P37	C17	5/23/2023	18	899	C17-L1-4_7	SPRING
P38	C17	5/23/2023	18	899	C17-L1-4_8	SPRING
P39	C17	5/23/2023	18	899	C17-L1-4_9	SPRING
P40	C17	5/23/2023	18	899	C17-L1-4_10	SPRING
P41	C21	5/24/2023	20	1061	C21-L1-5_1	SPRING
P42	C21	5/24/2023	20	1061	C21-L1-5_2	SPRING
P43	C16	5/24/2023	20	1061	C16-L1-5_1	SPRING
P44	C16	5/24/2023	20	1061	C16-L1-5_2	SPRING
P45	C20	5/24/2023	20	1061	C20-L1-5_1	SPRING
P46	C20	5/24/2023	20	1061	C20-L1-5_2	SPRING
P47	C17	5/24/2023	20	1061	C17-L1-5_1	SPRING
P48	C17	5/24/2023	20	1061	C17-L1-5_2	SPRING
P49	C17	5/24/2023	20	1061	C17-L1-5_3	SPRING
P50	C20	5/24/2023	20	1061	C20-L1-5_3	SPRING
P51	C16	5/25/2023	22	1105	C16-L1-6_1	SPRING
P52	C16	5/25/2023	22	1105	C16-L1-6_2	SPRING
P53	C17	5/25/2023	22	1105	C17-L1-6_1	SPRING
P54	C17	5/25/2023	22	1105	C17-L1-6_2	SPRING
P55	C20	5/25/2023	22	1105	C20-L1-6_1	SPRING
P56	C20	5/25/2023	22	1105	C20-L1-6_2	SPRING
P57	C21	5/25/2023	22	1105	C21-L1-6_1	SPRING
P58	C21	5/25/2023	22	1105	C21-L1-6_2	SPRING
P59	C16	5/25/2023	22	1105	C16-L1-6_3	SPRING
P60	C17	5/25/2023	22	1105	C17-L1-6_3	SPRING
P61	C16	5/26/2023	24	1185	C16-L1-7_1	SPRING
P62	C16	5/26/2023	24	1185	C16-L1-7_2	SPRING
P63	C17	5/26/2023	24	1185	C17-L1-7_1	SPRING
P64	C17	5/26/2023	24	1185	C17-L1-7_2	SPRING
P65	C20	5/26/2023	24	1185	C20-L1-7_1	SPRING
P66	C20	5/26/2023	24	1185	C20-L1-7_2	SPRING
P67	C21	5/26/2023	24	1185	C21-L1-7_1	SPRING
P68	C21	5/26/2023	24	1185	C21-L1-7_2	SPRING
P69	C16	5/26/2023	24	1185	C16-L1-7_3	SPRING
P70	C21	5/26/2023	24	1185	C21-L1-7_3	SPRING
