Date,Year,Study,Time,Temp,Soil moisture,Precipitation,RH%,Soil temp
10-14,2022,Fall 2022,14:00,10.99,0.146,0.00,34.86,11.02
10-14,2022,Fall 2022,15:00,12.32,0.146,0.00,31.65,11.58
10-14,2022,Fall 2022,16:00,12.40,0.146,0.00,32.22,11.97
10-14,2022,Fall 2022,17:00,12.03,0.145,0.00,31.00,12.03
10-14,2022,Fall 2022,18:00,11.95,0.145,0.00,30.54,11.96
10-14,2022,Fall 2022,19:00,11.28,0.145,0.00,32.70,11.77
10-14,2022,Fall 2022,20:00,10.07,0.144,0.00,38.10,11.51
10-14,2022,Fall 2022,21:00,9.53,0.144,0.00,39.68,11.19
10-14,2022,Fall 2022,22:00,10.29,0.144,0.00,34.69,10.89
10-14,2022,Fall 2022,23:00,10.78,0.144,0.00,32.76,10.67
10-14,2022,Fall 2022,24:00,10.74,0.144,0.00,34.56,10.50
10-15,2022,Fall 2022,01:00,11.03,0.144,0.00,38.78,10.36
10-15,2022,Fall 2022,02:00,8.22,0.144,0.51,77.77,10.29
10-15,2022,Fall 2022,03:00,6.78,0.144,0.76,96.40,10.26
10-15,2022,Fall 2022,04:00,6.06,0.145,0.00,100.00,10.21
10-15,2022,Fall 2022,05:00,5.06,0.146,1.27,99.80,10.16
10-15,2022,Fall 2022,06:00,4.54,0.147,0.00,99.90,10.05
10-15,2022,Fall 2022,07:00,4.11,0.147,0.00,99.60,9.91
10-15,2022,Fall 2022,08:00,3.38,0.147,0.00,97.70,9.71
10-15,2022,Fall 2022,09:00,3.16,0.147,0.00,95.90,9.49
10-15,2022,Fall 2022,10:00,4.53,0.147,0.00,83.60,9.37
10-15,2022,Fall 2022,11:00,6.27,0.147,0.00,70.18,9.46
10-15,2022,Fall 2022,12:00,6.90,0.147,0.00,65.73,9.74
10-15,2022,Fall 2022,13:00,7.54,0.147,0.00,60.68,10.10
10-15,2022,Fall 2022,14:00,8.64,0.147,0.00,55.20,10.37
10-15,2022,Fall 2022,15:00,10.12,0.147,0.00,48.43,10.70
10-15,2022,Fall 2022,16:00,11.19,0.147,0.00,44.37,11.14
10-15,2022,Fall 2022,17:00,10.64,0.147,0.00,45.23,11.38
10-15,2022,Fall 2022,18:00,10.26,0.146,0.00,47.70,11.41
10-15,2022,Fall 2022,19:00,9.24,0.146,0.00,51.31,11.27
10-15,2022,Fall 2022,20:00,7.51,0.145,0.00,60.01,10.97
10-15,2022,Fall 2022,21:00,6.15,0.145,0.00,67.32,10.62
10-15,2022,Fall 2022,22:00,5.60,0.145,0.00,69.75,10.28
10-15,2022,Fall 2022,23:00,5.45,0.145,0.00,71.41,9.98
10-15,2022,Fall 2022,24:00,6.02,0.145,0.00,70.37,9.75
10-16,2022,Fall 2022,01:00,6.59,0.145,0.00,68.14,9.64
10-16,2022,Fall 2022,02:00,6.82,0.145,0.00,68.61,9.57
10-16,2022,Fall 2022,03:00,6.94,0.145,0.00,69.28,9.53
10-16,2022,Fall 2022,04:00,6.93,0.145,0.00,70.50,9.48
10-16,2022,Fall 2022,05:00,6.96,0.145,0.00,69.63,9.45
10-16,2022,Fall 2022,06:00,6.69,0.144,0.00,70.68,9.39
10-16,2022,Fall 2022,07:00,6.42,0.144,0.00,73.78,9.33
10-16,2022,Fall 2022,08:00,5.69,0.144,0.00,79.56,9.28
10-16,2022,Fall 2022,09:00,4.64,0.144,0.00,89.30,9.19
10-16,2022,Fall 2022,10:00,7.25,0.145,0.00,76.48,9.11
10-16,2022,Fall 2022,11:00,9.14,0.145,0.00,68.30,9.34
10-16,2022,Fall 2022,12:00,10.04,0.145,0.00,62.42,9.80
10-16,2022,Fall 2022,13:00,11.42,0.145,0.00,55.73,10.37
10-16,2022,Fall 2022,14:00,11.99,0.145,0.00,54.77,11.06
10-16,2022,Fall 2022,15:00,12.14,0.145,0.00,55.81,11.53
10-16,2022,Fall 2022,16:00,12.17,0.145,0.00,56.27,11.85
10-16,2022,Fall 2022,17:00,10.71,0.144,0.00,64.32,11.99
