Date,Year,Study,Time,Temp,Soil moisture,Precipitation,RH%,Soil temp
05-15,2023,Spring 2023,12:00,16.49,0.184,0.00,37.27,12.35
05-15,2023,Spring 2023,13:00,17.69,0.184,0.00,32.92,13.27
05-15,2023,Spring 2023,14:00,18.81,0.183,0.00,31.05,14.28
05-15,2023,Spring 2023,15:00,19.76,0.182,0.00,27.73,15.29
05-15,2023,Spring 2023,16:00,20.90,0.182,0.00,25.74,15.90
05-15,2023,Spring 2023,17:00,21.65,0.181,0.00,24.61,15.83
05-15,2023,Spring 2023,18:00,22.15,0.181,0.00,24.59,15.81
05-15,2023,Spring 2023,19:00,22.19,0.180,0.00,23.87,15.94
05-15,2023,Spring 2023,20:00,21.33,0.179,0.00,22.42,15.88
05-15,2023,Spring 2023,21:00,18.83,0.179,0.00,30.77,15.61
05-15,2023,Spring 2023,22:00,13.54,0.178,0.00,51.37,15.19
05-15,2023,Spring 2023,23:00,15.29,0.178,0.00,39.35,14.69
05-15,2023,Spring 2023,24:00,14.12,0.178,0.00,41.11,14.26
05-16,2023,Spring 2023,01:00,8.94,0.178,0.00,65.76,13.84
05-16,2023,Spring 2023,02:00,6.76,0.177,0.00,78.83,13.39
05-16,2023,Spring 2023,03:00,5.51,0.177,0.00,88.40,12.93
05-16,2023,Spring 2023,04:00,4.93,0.177,0.00,90.40,12.52
05-16,2023,Spring 2023,05:00,3.81,0.176,0.00,96.80,12.13
05-16,2023,Spring 2023,06:00,4.29,0.176,0.00,88.10,11.77
05-16,2023,Spring 2023,07:00,5.65,0.176,0.00,71.05,11.47
05-16,2023,Spring 2023,08:00,7.47,0.176,0.00,66.74,11.26
05-16,2023,Spring 2023,09:00,11.24,0.177,0.00,46.89,11.24
05-16,2023,Spring 2023,10:00,14.85,0.177,0.00,43.00,11.41
05-16,2023,Spring 2023,11:00,17.44,0.177,0.00,41.97,11.76
05-16,2023,Spring 2023,12:00,19.80,0.177,0.00,39.53,12.26
05-16,2023,Spring 2023,13:00,21.84,0.176,0.00,34.89,12.91
05-16,2023,Spring 2023,14:00,23.48,0.176,0.00,29.83,13.65
